claim_id,claim,evidence,label
11,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,The main sources of greenhouse gases due to human activity are: burning of fossil fuels and deforestation leading to higher carbon dioxide concentrations in the air.,SUPPORTS
11,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,"At present, the primary source of CO 2 emissions is the burning of coal, natural gas, and petroleum for electricity and heat.",SUPPORTS
11,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,"When burned, petroleum releases carbon dioxide, a greenhouse gas.",SUPPORTS
14,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,These temperatures have caused the most severe and widespread coral bleaching ever recorded in the Great Barrier reef.,SUPPORTS
14,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,"A March 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures.",SUPPORTS
14,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,"The decline in the quality of water over the past 150 years (due to development) has contributed to coral bleaching, algal blooms, and pesticide pollution.",SUPPORTS
14,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,"Other environmental pressures on the reef and its ecosystem include runoff, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish.",SUPPORTS
14,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,"Mass coral bleaching events due to elevated ocean temperatures occurred in the summers of 1998, 2002 and 2006, and coral bleaching is expected to become an annual occurrence.",SUPPORTS
18,it’s not a pollutant that threatens human civilization.,An air pollutant is a material in the air that can have adverse effects on humans and the ecosystem.,REFUTES
18,it’s not a pollutant that threatens human civilization.,"A global catastrophic risk is a hypothetical future event which could damage human well-being on a global scale, even endangering or destroying modern civilization.",REFUTES
18,it’s not a pollutant that threatens human civilization.,"The report warned that the pollution crisis was exceeding ""the envelope on the amount of pollution the Earth can carry"" and “threatens the continuing survival of human societies”.",REFUTES
18,it’s not a pollutant that threatens human civilization.,"The present, unprecedented scale and speed of human movement make it more difficult than ever to contain an epidemic through local quarantines, and other sources of uncertainty and the evolving nature of the risk means natural pandemics may pose a realistic threat to human civilization.",REFUTES
18,it’s not a pollutant that threatens human civilization.,"""Global pollution kills 9m a year and threatens 'survival of human societies'"".",REFUTES
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",The greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planet's surface beyond the temperature it would have in the absence of its atmosphere.,REFUTES
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.","At very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.",REFUTES
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.","Since the Industrial Revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.",REFUTES
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.","Because its atmosphere consists mainly of CO 2, a known greenhouse gas, once Mars begins to heat, the CO 2 may help to keep thermal energy near the surface.",REFUTES
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",These gases are proposed for introduction because they generate a greenhouse effect thousands of times stronger than that of CO 2.,REFUTES
21,"Sea level rise has been slow and a constant, pre-dating industrialization","Under Stalin's leadership, the government launched a command economy, industrialization of the largely rural country, and collectivization of its agriculture.",REFUTES
21,"Sea level rise has been slow and a constant, pre-dating industrialization","Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",REFUTES
21,"Sea level rise has been slow and a constant, pre-dating industrialization","""Climate-change–driven accelerated sea-level rise detected in the altimeter era"".",REFUTES
21,"Sea level rise has been slow and a constant, pre-dating industrialization","Data collected by the Commonwealth Scientific and Industrial Research Organisation (CSIRO) in Australia show the current global mean sea level trend to be 3.2 mm (0.13 in) per year, a doubling of the rate during the 20th century.",REFUTES
21,"Sea level rise has been slow and a constant, pre-dating industrialization","Between 1870 and 1914, Sweden began developing the industrialised economy that exists today.",REFUTES
28,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming","The amount of surface warming in West Antarctica, while large, has not led to appreciable melting at the surface, and is not directly affecting the West Antarctic Ice Sheet's contribution to sea level.",SUPPORTS
28,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",This created a warming that later melted the ice and brought Earth's temperature back to equilibrium.,SUPPORTS
28,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming","Previous interglacials such as the Eemian phase created temperatures higher than today, higher sea levels, and some partial melting of the West Antarctic ice sheet.",SUPPORTS
28,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",The postulated period coincides with a global clustering of volcano collapse events; perhaps global warming occurring during this time when the last glacial maximum approached its end predisposed volcanoes to collapse.,SUPPORTS
28,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming","Global warming associated with large accumulations of carbon dioxide in the atmosphere over millions of years, emitted primarily by volcanic activity, is the proposed trigger for melting a snowball Earth.",SUPPORTS
30,"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'","The 2007 Kangaroo Island bushfires were a series of bushfires caused by lightning strikes on 6 December 2007 on Kangaroo Island, South Australia, resulting in the destruction of 95,000 hectares (230,000 acres) of national park and wilderness protection area.",NOT_ENOUGH_INFO
30,"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'","Many fires are as a result of either deliberate arson or carelessness, however these fires normally happen in readily accessible areas and are rapidly brought under control.",NOT_ENOUGH_INFO
30,"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'","Man-made events include arcing from overhead power lines, arson, accidental ignition in the course of agricultural clearing, grinding and welding activities, campfires, cigarettes and dropped matches, sparks from machinery, and controlled burn escapes.",NOT_ENOUGH_INFO
30,"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'",The fires would have been caused by both natural phenomenon and human hands.,NOT_ENOUGH_INFO
30,"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'","A summer heat wave in Victoria, Australia, created conditions which fuelled the massive bushfires in 2009.",NOT_ENOUGH_INFO
31,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,"CO 2 is a heat-trapping greenhouse gas which causes global warming, which damages the environment and human health.",SUPPORTS
31,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,Intrusions of hot magma into carbon-rich sediments may have triggered the degassing of isotopically light methane in sufficient volumes to cause global warming and the observed isotope anomaly.,SUPPORTS
31,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,"""Global Warming Led To Atmospheric Hydrogen Sulfide And Permian Extinction"".",SUPPORTS
31,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,"The eruptions would also have emitted carbon dioxide, causing global warming.",SUPPORTS
31,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,"The basalt lava erupted or intruded into carbonate rocks and into sediments that were in the process of forming large coal beds, both of which would have emitted large amounts of carbon dioxide, leading to stronger global warming after the dust and aerosols settled.",SUPPORTS
33,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,Carbon dioxide is a greenhouse gas that increases radiative forcing and contributes to global warming along with ocean acidification.,REFUTES
33,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,The use of petroleum as fuel causes global warming and ocean acidification.,REFUTES
33,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,"Compared with other low carbon power sources, wind turbines have some of the lowest global warming potential per unit of electrical energy generated.",REFUTES
33,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,"Arrays of large turbines, known as wind farms, have become an increasingly important source of renewable energy and are used in many countries as part of a strategy to reduce their reliance on fossil fuels.",REFUTES
33,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,"Over 1,500 tons of carbon dioxide per year can be eliminated by using a one-megawatt turbine instead of one megawatt of energy from a fossil fuel.",REFUTES
35,"Ice berg melts, ocean level remains the same.","""The melting of floating ice raises the ocean level"" (PDF).",REFUTES
35,"Ice berg melts, ocean level remains the same.",There is a threshold in surface warming beyond which a partial or near-complete melting of the Greenland ice sheet occurs.,REFUTES
35,"Ice berg melts, ocean level remains the same.",The gravitational effects comes into play when a large ice sheet melts.,REFUTES
35,"Ice berg melts, ocean level remains the same.","Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",REFUTES
35,"Ice berg melts, ocean level remains the same.","""The melting of floating ice raises the ocean level"".",REFUTES
36,When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,"Trend sceptics or deniers (who deny there is global warming), [and] argue that no significant climate warming is taking place at all, claiming that the warming trend measured by weather stations is an artefact due to urbanisation around those stations (""urban heat island effect"").",NOT_ENOUGH_INFO
36,When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,Many such people prefer to call themselves skeptics and describe their position as climate change skepticism.,NOT_ENOUGH_INFO
36,When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,The current scientific consensus on climate change is that the Earth underwent global warming throughout the 20th century and continues to warm.,NOT_ENOUGH_INFO
36,When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,"He said, ""A lot of my older colleagues are very skeptical on the global warming thing"".",NOT_ENOUGH_INFO
36,When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical,"John Wallace of the University of Washington agreed with Lindzen that progress in climate change science had been exaggerated, but said there are ""relatively few scientists who are as skeptical of the whole thing as Dick [Lindzen] is"".",NOT_ENOUGH_INFO
38,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"""A 40-y record reveals gradual Antarctic sea ice increases followed by decreases at rates far exceeding the rates seen in the Arctic"".",REFUTES
38,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"An ice age is a long period of reduction in the temperature of the Earth's surface and atmosphere, resulting in the presence or expansion of continental and polar ice sheets and alpine glaciers.",REFUTES
38,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"According to research published in Nature Geoscience, human emissions of carbon dioxide (CO2) will defer the next ice age.",REFUTES
38,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"The release of water raised sea levels again, restoring the ingress of colder water from the Pacific with an accompanying shift to northern hemisphere ice accumulation.",REFUTES
38,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"Based on changes of Antarctica's ice mass balance over millions of years, due to natural climate fluctuations, researchers concluded that the sea-ice acts as a barrier for warmer waters surrounding the continent.",REFUTES
41,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,"This scientific opinion is expressed in synthesis reports, by scientific bodies of national or international standing, and by surveys of opinion among climate scientists.",SUPPORTS
41,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,European Academy of Sciences and Arts in 2007 issued a formal declaration on climate change titled Let's Be Honest: Human activity is most likely responsible for climate warming.,SUPPORTS
41,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,Dennis Bray and Hans von Storch conducted a survey in August 2008 of 2058 climate scientists from 34 different countries.,SUPPORTS
41,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,The Millennium Ecosystem Assessment is an international synthesis by over 1000 of the world's leading biological scientists that analyzes the state of the Earth's ecosystems and provides summaries and guidelines for decision-makers.,SUPPORTS
41,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,"It was signed by 15,364 scientists from 184 countries, what made it the letter with the most signatures of scientists in history In November 2019, more than 11,000 scientists from 153 countries published a letter in which they warn about big threats to sustainability from climate change if big changes in policies will not happen.",SUPPORTS
42,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,"Between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well.",REFUTES
42,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,"Over the 21st century, the IPCC projects that in a very high emissions scenario the sea level could rise by 61–110 cm.",REFUTES
42,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,"Between 1900 and 2016, the sea level rose by 16–21 cm (6.3–8.3 in).",REFUTES
42,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,18 January 2019.,REFUTES
42,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,"For at least the last 100 years, sea level has been rising at an average rate of about 1.8 mm (0.07 in) per year.",REFUTES
44,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","According to the United States National Research Council, [T]here is a strong, credible body of evidence, based on multiple lines of research, documenting that climate is changing and that these changes are in large part caused by human activities.",REFUTES
44,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","European Science Foundation in a 2007 position paper states: There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change ... On-going and increased efforts to mitigate climate change through reduction in greenhouse gases are therefore crucial.",REFUTES
44,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",Seventy-five of 77 believed that human activity is a significant factor in changing mean global temperatures.,REFUTES
44,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","7–10 ""There is now convincing evidence that since the industrial revolution, human activities, resulting in increasing concentrations of greenhouse gases have become a major agent of climate change.",REFUTES
44,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.","While ‘climate change’ can be due to natural forces or human activity, there is now substantial evidence to indicate that human activity – and specifically increased greenhouse gas (GHGs) emissions – is a key factor in the pace and extent of global temperature increases.",REFUTES
51,"CO2 does not cause climate change, it RESPONDS to it [...]",Increasing atmospheric CO 2 concentrations lead to further acidification ...,SUPPORTS
51,"CO2 does not cause climate change, it RESPONDS to it [...]","""Adaptation To Global Climate Change Is An Essential Response To A Warming Planet"".",SUPPORTS
51,"CO2 does not cause climate change, it RESPONDS to it [...]","""Correction to ""Control of fossil-fuel particulate black carbon and organic matter, possibly the most effective method of slowing global warming."""".",SUPPORTS
51,"CO2 does not cause climate change, it RESPONDS to it [...]","""Blaming cities for climate change?",SUPPORTS
51,"CO2 does not cause climate change, it RESPONDS to it [...]","A new statement, adopted by the society in 2003, revised in 2007, and revised and expanded in 2013, affirms that rising levels of greenhouse gases have caused and will continue to cause the global surface temperature to be warmer: Human activities are changing Earth's climate.",SUPPORTS
57,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.","The Medieval Warm Period (MWP) also known as the Medieval Climate Optimum, or Medieval Climatic Anomaly was a time of warm climate in the North Atlantic region lasting from c. 950 to c. 1250.",SUPPORTS
57,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.","1250, during the European Middle Ages.",SUPPORTS
57,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.","1200 AD, and was followed by a decline of temperature levels till between c. 1500 and c. 1700 the coldest phase since the last ice age occurred.""",SUPPORTS
57,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",It is thought that between c. 950 and c. 1100 was the Northern Hemisphere's warmest period since the Roman Warm Period.,SUPPORTS
57,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",The Medieval Warm Period (MWP) is generally thought to have occurred from c. 950–c.,SUPPORTS
67,Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...],"During the LGM 22,000 YBP the average summer temperature was 3–5 °C (5–9 °F) degrees cooler than today, with variations of 2.9 °C (5.2 °F) degrees cooler on the Seward Peninsula to 7.5 °C (13.5 °F) cooler in the Yukon.",NOT_ENOUGH_INFO
67,Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...],"Consequently, summers are 2.3 °C (4 °F) warmer in the Northern Hemisphere than in the Southern Hemisphere under similar conditions.",NOT_ENOUGH_INFO
67,Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...],"""Centennial-scale climate cooling with a sudden event around 8,200 years ago"".",NOT_ENOUGH_INFO
67,Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...],"This period of warmth ended about 5,500 years ago with the descent into the Neoglacial and concomitant Neopluvial.",NOT_ENOUGH_INFO
67,Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...],"Research using sediment in lakes near the Okstind Glacier has shown that the summer climate in Nordland was up to 2.5 °C warmer 9,000 to 6,000 years ago, and then slowly cooled—it was 0.5 °C warmer 2,000 years before present (see Holocene climatic optimum.).",NOT_ENOUGH_INFO
69,Sea level rise is not going to happen.,"Between 1900 and 2016, the sea level rose by 16–21 cm (6.3–8.3 in).",REFUTES
69,Sea level rise is not going to happen.,"Over the 21st century, this is expected to rise, with glaciers contributing 7 to 24 cm (3 to 9 in) to global sea levels.",REFUTES
69,Sea level rise is not going to happen.,"If emissions remain very high, the IPCC projects sea level will rise by 52–98 cm (20–39 in).",REFUTES
69,Sea level rise is not going to happen.,This could mean rapid sea level rise of up to 19 mm (0.75 in) per year by the end of the century.,REFUTES
69,Sea level rise is not going to happen.,"Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",REFUTES
71,"Cold weather to grip world as solar minimum to deepen, NASA says",Its statements concur with the global scientific consensus that the global climate is warming.,SUPPORTS
71,"Cold weather to grip world as solar minimum to deepen, NASA says","Solar physicist Dean Pesnell of the Goddard Space Flight Center came to the following conclusion: ""We're experiencing a very deep solar minimum.""",SUPPORTS
71,"Cold weather to grip world as solar minimum to deepen, NASA says","""NOAA Space Weather Scales Page Has Changed"".",SUPPORTS
71,"Cold weather to grip world as solar minimum to deepen, NASA says","""Deep Solar Minimum – NASA Science"".",SUPPORTS
71,"Cold weather to grip world as solar minimum to deepen, NASA says","The coolest layer of the Sun is a temperature minimum region extending to about 500 km above the photosphere, and has a temperature of about 4,100 K. This part of the Sun is cool enough to allow the existence of simple molecules such as carbon monoxide and water, which can be detected via their absorption spectra.",SUPPORTS
72,"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]",": 'Conception is defined as the beginning of life.']""",NOT_ENOUGH_INFO
72,"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]","Such preface is then followed with the question, as in: [...] personal letter delivery is at an all-time low...",NOT_ENOUGH_INFO
72,"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]","Holstein, James A.",NOT_ENOUGH_INFO
72,"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]","Eats, Shoots & Leaves, 2003. p. 139.",NOT_ENOUGH_INFO
72,"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]","""), whereas in the English language orthography no space is allowed in front of the question mark (e.g.",NOT_ENOUGH_INFO
74,The models predicted about three times the amount of warming in the world we’ve seen since [1988].,Models referenced by the Intergovernmental Panel on Climate Change (IPCC) predict that global temperatures are likely to increase by 1.1 to 6.4 °C (2.0 to 11.5 °F) between 1990 and 2100.,SUPPORTS
74,The models predicted about three times the amount of warming in the world we’ve seen since [1988].,"Currently, surface temperatures are rising by about 0.2 °C per decade.",SUPPORTS
74,The models predicted about three times the amount of warming in the world we’ve seen since [1988].,"In 1896, he published the first climate model of its kind, showing that halving of CO 2 could have produced the drop in temperature initiating the ice age.",SUPPORTS
74,The models predicted about three times the amount of warming in the world we’ve seen since [1988].,"The 10th Emissions Gap Report issued by the United Nations Environment Programme (UNEP) predicts that if emissions continue to increase at the same rate as they have in 2010–2020, global temperatures would rise by as much as 4° by 2100.",SUPPORTS
74,The models predicted about three times the amount of warming in the world we’ve seen since [1988].,"Climate model projections summarized in the report indicated that during the 21st century the global surface temperature is likely to rise a further 0.3 to 1.7 °C (0.5 to 3.1 °F) in a moderate scenario, or as much as 2.6 to 4.8 °C (4.7 to 8.6 °F) in an extreme scenario, depending on the rate of future greenhouse gas emissions and on climate feedback effects.",SUPPORTS
76,Burping cows are more damaging to the climate than all the cars on this planet.,"Many citizens of countries like the United States and Canada who drive personal cars often, see well over half of their climate change impact stemming from the emissions produced from their cars.",NOT_ENOUGH_INFO
76,Burping cows are more damaging to the climate than all the cars on this planet.,"For richer people, emissions tend to be associated with things such as eating beef, cars, frequent flying, and home heating.",NOT_ENOUGH_INFO
76,Burping cows are more damaging to the climate than all the cars on this planet.,"Most environmentally related taxes with implications for greenhouse gas emissions in OECD countries are levied on energy products and motor vehicles, rather than on CO2 emissions directly.",NOT_ENOUGH_INFO
76,Burping cows are more damaging to the climate than all the cars on this planet.,The Moon may have dramatically affected the development of life by moderating the planet's climate.,NOT_ENOUGH_INFO
76,Burping cows are more damaging to the climate than all the cars on this planet.,Our Changing Sun: The Role of Solar Nuclear Evolution and Magnetic Activity on Earth's Atmosphere and Climate.,NOT_ENOUGH_INFO
82,The ­atmospheric residency time of carbon dioxide is five years,"Five hundred million years ago the carbon dioxide concentration was 20 times greater than today, decreasing to 4–5 times during the Jurassic period and then slowly declining with a particularly swift reduction occurring 49 million years ago.",REFUTES
82,The ­atmospheric residency time of carbon dioxide is five years,"""Atmospheric carbon dioxide concentrations over the past 60 million years"".",REFUTES
